Name,Album,Artist,URL
APT.,APT.,ROSÉ,https://youtu.be/ekr2nIex040?si=NXsKxiF6e6SHLk-I
Die With A Smile,Die With A Smile,Lady Gaga,https://youtu.be/kPa7bsKwL-c?si=X1XutZQViQZ-e2w7
Azizam,Azizam,Ed Sheeran,https://youtu.be/q_48vyHWls4?si=GApWNgzmor2eGY0Z
Espresso,Espresso,Sabrina Carpenter,https://youtu.be/eVli-tstM5E?si=A-oXB8GU8J0-8TuW
luther (with sza),GNX,Kendrick Lamar,https://youtu.be/sNY_2TEmzho?si=LYznKuEUpxNW3uZ6
ExtraL (feat. Doechii),ExtraL (feat. Doechii),JENNIE,https://youtu.be/eWAdpUyzCkI?si=I9PxyM88zxYGDSN9
Ude Dil Befikre,Befikre,Benny Dayal,https://youtu.be/gXe-KWe-YMs?si=oB7i6m0xzMYn4QVB
Nashe Si Chadh Gayi,Befikre,Arijit Singh,https://youtu.be/HoCwa6gnmM0?si=FOhJWpftig96ixXD
,,,
,,,
