Name,Album,Artist,URL
Heathens,Heathens,Twenty One Pilots,https://youtu.be/nd2-q-WL07w?si=WMtYU9DDH2yDD2xs
Attention,Voicenotes,Charlie Puth,https://youtu.be/nfs8NYg7yQM?si=R24oqLdzwkdmfzj8
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://youtu.be/dT2owtxkU8k?si=msd7kKOpRn8AW0DT
Believer,Evolve,Imagine Dragons,https://youtu.be/7wtfhZwyrcc?si=P5PQhcmwLt65fgwm
Galway Girl,÷ (Deluxe),Ed Sheeran,https://youtu.be/87gWaABqGYs?si=MClpc0ybtMV81Fyy
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh,https://youtu.be/fdubeMFwuGs?si=UKU6MiHTcSq8vvtf
Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan,https://youtu.be/Ax0G_P2dSBw?si=lICvxVMkmCZsrKbZ
Safarnama,Tamasha,Lucky Ali,https://youtu.be/7mTDBsdfw88?si=PoXk2VvY8hJeGebn
Aazaadiyan,Udaan,"Amit Trivedi, Neuman Pinto",https://youtu.be/ugm2SOScEqA?si=ZAkd6OddYtICCAuc
Kho Gaye Hum Kahan,Baar Baar Dekho,"Jasleen Royal, Prateek Kuhad",https://youtu.be/vt4jX0iRgCg?si=KgBJoj6w6fo7NHqX
Phir Se Ud Chala,Rockstar,Mohit Chauhan,https://youtu.be/2mWaqsC3U7k?si=Fe48CG3mOxjtyXpn
,,,
