Name,Album,Artist,URL
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://youtu.be/eRnIks59Pjw?si=JFAHm41dIeXwvMy6
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://youtu.be/zABLecsR5UE?si=qYqlK-CR63bLboLM
Circles,Hollywood's Bleeding,Post Malone,https://youtu.be/wXhTHyIgQ_U?si=ZxCZKFaGpf1QZX6N
Loosing Interest,Passion & Confusion,timmies,https://youtu.be/HC6xx-GxlUY?si=KQA34bk2UP0JruQB
It's You,YOU,Ali Gatie,https://youtu.be/PXGycbkbtW0?si=pdL9Qt-zA9gLcD_Q
I Just Want You,I Just Want You,Kina,https://youtu.be/ExW4FisGlYk?si=ASE_ur_PypeWN6Gk
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh,https://youtu.be/284Ov7ysmfA?si=nUE4G2KBzcG0lapq
Tadap Tadap,Hum Dil De Chuke Sanam,KK,https://youtu.be/KwiDJclWo44?si=qtfi-fci96NQX9RA
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh",https://youtu.be/sK7riqg2mr4?si=W4irWnHQZWtY7gKZ
Phir Le Aaya Dil,Barfi!,Rekha Bhardwaj,https://youtu.be/k6BnSIs3XUQ?si=fm9YhOILYOsTYCZq
Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam,https://youtu.be/g0eO74UmRBs?si=fVRaxS_44b_pSfaZ
